Fecha registrada,Latitud Aproximada,Longitud Aproximada,Nombre del Encuestador o Encuestadora,Tipo de negocio,¿El negocio tiene reja para entrar? (¿los consumidores pueden entrar a la tienda para escoger y comprar los productos?),Nombre del negocio,Campus,Año de apertura del negocio,¿Cuántas personas trabajaron para este negocio (con o sin paga) durante el mes anterior?,¿Cuántas personas trabajaron con un salario fijo durante el último mes?,"En tres meses, ¿esperas que el número total de trabajadores del negocio aumente, disminuya o permanezca igual?","Durante el último mes, ¿tuviste más, menos, o el mismo número de clientes en tu negocio?","¿Esperas que en tres meses tengas más, menos o el mismo número de clientes en tu negocio?","¿Tus ventas actuales están mejor, peor o igual en comparación con hace un mes?",¿Por qué piensas que las ventas incrementaron/disminuyeron/permanecieron igual? (opcional),"¿Esperas que las ventas de tu negocio en tres meses sean mayores, menores o iguales?","¿Durante el último mes tu nivel de inventario aumentó, disminuyó o permaneció igual?","¿Esperas que dentro de tres meses el nivel de inventario incremente, disminuya o permanezca igual?","Actualmente, ¿sientes que tu nivel de inventario es demasiado grande, muy poco o está en su nivel correcto?","En promedio, ¿el precio de venta de los productos que vende este establecimiento aumentó, bajó o permaneció igual a hace un mes?","¿Dentro de tres meses, esperas que los precios de los productos que vendes aumenten, disminuyan o permanezcan igual?",Qué tanto impacta a tu negocio: - El crimen,Qué tanto impacta a tu negocio: - La falta de crédito,Qué tanto impacta a tu negocio: - El incremento en el precio de los bienes,Qué tanto impacta a tu negocio: - La competencia,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Bancos,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Proveedores,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Familia,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Gobierno,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Ahorros populares (tandas),¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? - Crédito privado,¿De cuáles de las siguientes opciones recibiste crédito para operar tu negocio? Otro (OPCIONAL),¿Cuál es la razón principal por la que tu negocio no tiene un crédito bancario?,"Asume que tienes los medios para hacer crecer tu negocio, ¿quisieras que tu negocio creciera? (por ejemplo, con más empleados, más productos, un local más grande)",¿Cuál es la razón principal por la que no quieres que tu negocio crezca?,¿Cuál sería el salario mensual más bajo que estaría dispuesto a aceptar para cerrar el negocio y,Horario de apertura,Horario de cierre,Sexo del dueño o dueña,¿El local de su negocio es rentado o propio?,Educación del dueño,Edad del dueño o dueña
30/09/2024 20:33,19.4342,-99.0559,Sebastian,Miscelanea o Tienda de Abarrotes,Sí,Mini súper delicias,Chihuahua,1980,1,1,Permanezca igual,,,Igual,,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Mucho,Moderado,Algo,Nada,No,Sí,No,No,No,Sí,,Las tasas de interés son muy altas,No,Porque está satisfecho con su negocio,30000,08:30 a. m.,08:30 p. m.,Hombre,Rentado,Secundaria,De 51 a 60
30/09/2024 20:33,19.4342,-99.0559,Raul Gerardo Villarreal García ,Miscelanea o Tienda de Abarrotes,Sí,minisuper delicias,Chihuahua,1980,1,1,Permanezca igual,,,Igual,,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Mucho,Poco,Poco,Nada,No,Sí,No,No,No,Sí,,Las tasas de interés son muy altas,No,Porque está satisfecho con su negocio,"$30,000.00 ",08:30 a. m.,08:30 p. m.,Hombre,Rentado,Secundaria,Más de 60
30/09/2024 20:35,19.4342,-99.0559,Said Castellanos,Miscelanea o Tienda de Abarrotes,Sí,Dulces la Catedral,Chihuahua,2014,3,3,Permanezca igual,,,Igual,Temporada,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Algo,Moderado,Sí,Sí,Sí,No,No,No,,No necesito un crédito,Sí,,30000,09:00 a. m.,07:30 p. m.,Hombre,Rentado,Universidad y más,De 31 a 40
30/09/2024 20:35,19.4342,-99.0559,Raul Olivera,Miscelanea o Tienda de Abarrotes,Sí,Dulces la catedral ,Chihuahua,2014,3,3,Permanezca igual,,,Igual,Temporada ,Mayores,Permaneció igual,Incremente,Demsiado grande,Permaneció igual,Aumenten,Poco,Nada,Poco,Moderado,No,Sí,No,No,No,Sí,,Los procedimientos para aplicar son complicados,Sí,,30000,09:00 a. m.,07:30 p. m.,Hombre,Rentado,Universidad y más,De 31 a 40
30/09/2024 20:35,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,No,Minisuper JH,Chihuahua,2021,2,1,Permanezca igual,,,Igual,No ha habido incremento de precios. ,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Nada,Poco,Poco,Poco,No,No,Sí,No,Sí,No,Familia,Las tasas de interés son muy altas,Sí,,"30,000",07:00 a. m.,10:00 p. m.,Hombre,Propio,Universidad y más,Más de 60
30/09/2024 20:45,28.7791,-106.0786,Mariana Georgina Loya Pérez ,Carnicería,Sí,Carnicería La Chispa,Chihuahua,1980,9,6,Aumente,,,Igual,,Menores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Nada,Mucho,Moderado,Moderado,No,Sí,No,No,No,No,,Las tasas de interés son muy altas,No,Porque está satisfecho con su negocio,50000,08:00 a. m.,08:00 p. m.,Hombre,Propio,Primaria,Más de 60
30/09/2024 20:46,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes Azul,Chihuahua,2012,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Igual,Es lo que se ha contabilizado,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Nada,Nada,No,No,No,No,No,No,No ha tenido crédito,No necesito un crédito,Sí,,0,08:00 a. m.,09:00 p. m.,Hombre,Propio,Preparatoria,De 51 a 60
30/09/2024 21:00,28.7791,-106.0786,Mariana Georgina Loya Pérez,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes La Rosita,Chihuahua,1980,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Igual,,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Nada,Mucho,No,No,No,No,No,No,,No necesito un crédito,No,Porque tendría que pagar más impuestos,10000,07:30 a. m.,08:00 p. m.,Mujer,Propio,Secundaria,Más de 60
30/09/2024 21:08,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes América ,Chihuahua,2019,3,3,Permanezca igual,,,Mejor,Por la temporada baja,Mayores,Aumentó,Incremente,Muy poco,Permaneció igual,Permanezcan igual,Poco,Poco,Moderado,Algo,No,Sí,No,No,No,No,Ninguno,No necesito un crédito,Sí,,"50,000",08:00 a. m.,10:00 p. m.,Hombre,Propio,Universidad y más,De 21 a 30
30/09/2024 21:20,19.4342,-99.0559,Martha Sofía Arras,Fondita/Mini Resutaurante,Sí,Los Santos Pizzería ,Chihuahua,2024,9,2,Aumente,,,Mejor,,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Moderado,Nada,Sí,No,No,No,No,No,,No me queda cerca algún banco,Sí,,25000,01:00 p. m.,11:00 p. m.,Hombre,Rentado,Universidad y más,De 21 a 30
30/09/2024 21:31,19.4342,-99.0559,Said Castellanos ,Panadería,Sí,Dulcería arcoíris,Chihuahua,2020,1,1,Permanezca igual,,,Mejor,Fechas festivas,Mayores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Nada,Nada,Mucho,Nada,Sí,No,Sí,No,No,Sí,,No necesito un crédito,Sí,,30000,10:00 a. m.,07:30 p. m.,Hombre,Rentado,Secundaria,De 41 a 50
30/09/2024 21:44,19.4342,-99.0559,Said Castellanos,Miscelanea o Tienda de Abarrotes,Sí,La favorita ,Chihuahua,1994,2,0,Permanezca igual,,,Peor,Temporada,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Nada,Moderado,Moderado,Algo,No,No,Sí,No,No,No,,No necesito un crédito,No,Porque sería muy complicado administrarlo,40000,08:00 a. m.,09:00 p. m.,Hombre,Rentado,Universidad y más,De 51 a 60
30/09/2024 22:01,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,No,Minisuper Ruíz,Chihuahua,2024,1,1,Permanezca igual,,,Peor,Por el regreso a clases,Mayores,Permaneció igual,Incremente,En su nivel correcto,Bajó,Aumenten,Nada,Nada,Moderado,Moderado,No,Sí,No,No,No,No,Ninguna,No necesito un crédito,Sí,,0,07:00 a. m.,08:30 p. m.,Hombre,Propio,Secundaria,Más de 60
01/10/2024 13:58,19.4342,-99.0559,Alfredo Díaz ,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes Díaz ,Chihuahua,2020,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Peor,Porque todo está muy caro,Iguales,Disminuyó,Permanezca igual,Muy poco,Permaneció igual,Disminuyan,Moderado,Moderado,Mucho,Mucho,No,No,Sí,No,Sí,No,,No necesito un crédito,No,Porque está satisfecho con su negocio,Sin palabras ,08:00 a. m.,08:00 p. m.,Hombre,Rentado,Preparatoria,De 51 a 60
01/10/2024 14:08,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Miscelanea o Tienda de Abarrotes,Sí,"Abarrotes y panadería ""La Chiquita""",Chihuahua,1983,2,2,Permanezca igual,,,Mejor,Por las vacaciones. ,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Poco,Poco,Poco,No,No,Sí,No,No,No,Familiar fue la principal ,Las tasas de interés son muy altas,Sí,,"35,000",07:00 a. m.,02:00 p. m.,Hombre,Propio,Universidad y más,De 21 a 30
01/10/2024 14:16,19.4342,-99.0559,Javier Muñoz ,Miscelanea o Tienda de Abarrotes,Sí,Familiar ,Chihuahua,2017,1,1,Aumente,,,Peor,,Mayores,Permaneció igual,Incremente,Muy poco,Bajó,Aumenten,Algo,Algo,Mucho,Mucho,Sí,Sí,No,No,No,No,,No necesito un crédito,Sí,,"30,000",09:00 a. m.,10:00 p. m.,Hombre,Rentado,Secundaria,De 41 a 50
01/10/2024 14:23,19.4342,-99.0559,José Emilio Gallo Hernandez,Miscelanea o Tienda de Abarrotes,Sí,Tarin,Chihuahua,1990,1,0,Permanezca igual,,,Igual,Cíclico ,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Moderado,Nada,Nada,Nada,No,Sí,No,No,No,No,,No necesito un crédito,No,Porque está satisfecho con su negocio,"20,000",07:30 a. m.,09:00 p. m.,Hombre,Propio,Universidad y más,De 51 a 60
01/10/2024 14:36,19.4342,-99.0559,José Emilio Gallo Hernandez,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes Paty,Chihuahua,1990,1,0,Permanezca igual,,,Igual,Clientes no varían ,Menores,Permaneció igual,Disminuya,En su nivel correcto,Aumentó,Aumenten,Algo,Nada,Mucho,Algo,No,No,No,No,No,No,,Las tasas de interés son muy altas,Sí,,"15,000",07:00 a. m.,07:00 p. m.,Hombre,Rentado,Secundaria,De 41 a 50
01/10/2024 14:37,19.4342,-99.0559,Valentín lugo ,Miscelanea o Tienda de Abarrotes,Sí,El supersito ,Chihuahua,2019,2,2,Permanezca igual,,,Igual,,Menores,Aumentó,Incremente,En su nivel correcto,Aumentó,Permanezcan igual,Moderado,Algo,Algo,Moderado,Sí,No,No,No,No,Sí,,No necesito un crédito,Sí,,"40,000",07:30 a. m.,08:30 p. m.,Hombre,Rentado,Universidad y más,De 31 a 40
01/10/2024 14:48,19.4342,-99.0559,José Emilio Gallo Hernández ,Miscelanea o Tienda de Abarrotes,Sí,Tsunami II,Chihuahua,2009,1,1,Permanezca igual,,,Igual,Mismos clientes,Iguales,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Permanezcan igual,Algo,Nada,Algo,Nada,No,Sí,No,No,No,No,,No necesito un crédito,No,Porque sería muy complicado administrarlo,"40,000",09:00 a. m.,07:00 p. m.,Hombre,Rentado,Preparatoria,Más de 60
01/10/2024 14:54,19.4342,-99.0559,Leonardo Olvera ,Miscelanea o Tienda de Abarrotes,Sí,Tortillería flores ,Chihuahua,2015,2,2,Permanezca igual,,,Igual,,Mayores,Permaneció igual,Incremente,En su nivel correcto,Permaneció igual,Aumenten,Moderado,Moderado,Algo,Mucho,No,No,Sí,No,No,No,,No necesito un crédito,Sí,,"25,000",06:00 a. m.,03:00 p. m.,Mujer,Rentado,Preparatoria,Menos de 20
01/10/2024 15:01,19.4342,-99.0559,José Emilio Gallo Hernández ,Cervecería o licorería,Sí,Modelorama el Dolarito,Chihuahua,2021,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Peor,,Iguales,Permaneció igual,Incremente,Muy poco,Aumentó,Permanezcan igual,Moderado,Nada,Poco,Algo,No,No,No,No,No,No,,Las tasas de interés son muy altas,Sí,,"12,000",10:00 a. m.,10:00 p. m.,Mujer,Rentado,Universidad y más,De 41 a 50
01/10/2024 15:25,19.4342,-99.0559,Yashir Elías Fernández Chavarría ,Cervecería o licorería,No,Súper Granjas ,Chihuahua,2008,2,2,Permanezca igual,,,Mejor,Por la temporada alta,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Moderado,Nada,Algo,Poco,No,No,Sí,No,No,Sí,Crédito hipotecario ,No necesito un crédito,Sí,,"25,000",10:00 a. m.,09:00 p. m.,Mujer,Rentado,Secundaria,Más de 60
01/10/2024 15:38,28.998,-106.229,Jesús Manuel ,Miscelanea o Tienda de Abarrotes,No,Copy play ,Chihuahua,2016,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Igual,,Mayores,Permaneció igual,Incremente,Muy poco,Permaneció igual,Aumenten,Algo,Algo,Mucho,Mucho,Sí,No,Sí,No,No,No,,Las tasas de interés son muy altas,No,Porque sería muy complicado administrarlo,10,08:00 a. m.,06:00 p. m.,Hombre,Propio,Preparatoria,Más de 60
01/10/2024 15:50,19.4706,-99.1577,I,Miscelanea o Tienda de Abarrotes,Sí,L,Chihuahua,2022,1,0,Permanezca igual,,,Peor,Por la época y por inicio a clases,Mayores,Permaneció igual,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Poco,Nada,Moderado,Poco,No,Sí,Sí,No,No,No,,Las tasas de interés son muy altas,Sí,,"50,000",08:00 a. m.,08:30 p. m.,Mujer,Rentado,Universidad y más,De 31 a 40
01/10/2024 16:06,19.4706,-99.1577,Elías González Arias ,Verdulería o Frutería,No,NA,Chihuahua,2008,2,2,Permanezca igual,,,Mejor,Más productos ,Iguales,Aumentó,Incremente,En su nivel correcto,Aumentó,Aumenten,Moderado,Nada,Algo,Poco,No,No,No,No,No,No,,Las tasas de interés son muy altas,Sí,,"60,000",08:00 a. m.,07:30 p. m.,Hombre,Rentado,Universidad y más,De 31 a 40
01/10/2024 16:21,19.4342,-99.0559,José Pablo Avitia ,Cervecería o licorería,Sí,Licores Don Higinio,Chihuahua,1984,2,2,Permanezca igual,,,Peor,Temporada,Menores,Permaneció igual,Disminuya,En su nivel correcto,Aumentó,Aumenten,Algo,Nada,Algo,Poco,No,No,No,No,No,No,,No necesito un crédito,Sí,,No lo dejaría ,10:00 a. m.,10:00 p. m.,Hombre,Rentado,Universidad y más,De 41 a 50
01/10/2024 16:34,19.4706,-99.1577,Elías González Arias ,Miscelanea o Tienda de Abarrotes,Sí,El rincon de rosita,Chihuahua,2014,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Igual,Por la incertidumbre económica nacional ,Menores,Permaneció igual,Permanezca igual,En su nivel correcto,Permaneció igual,Aumenten,Moderado,Nada,Poco,Nada,No,Sí,No,No,No,No,,Las tasas de interés son muy altas,Sí,,"40,000",10:00 a. m.,07:00 p. m.,Mujer,Rentado,Universidad y más,De 51 a 60
01/10/2024 16:36,19.4342,-99.0559,Jose Avitia ,Fondita/Mini Resutaurante,Sí,Lonches 27,Chihuahua,1980,2,2,Permanezca igual,,,Peor,"Temporada, aumentó de insumos",Iguales,Aumentó,Permanezca igual,Muy poco,Permaneció igual,Aumenten,Mucho,Algo,Mucho,Nada,No,No,Sí,No,Sí,No,,Las tasas de interés son muy altas,Sí,,"16,000",07:30 a. m.,03:30 p. m.,Hombre,Propio,Preparatoria,De 51 a 60
01/10/2024 16:52,19.4342,-99.0559,José Pablo Avitia Aguirre ,Panadería,Sí,Helados Tomy,Chihuahua,1980,2,2,Permanezca igual,,,Peor,"Temporada, regresó de pandemia",Menores,Disminuyó,Disminuya,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Poco,Algo,Moderado,No,No,No,No,No,No,,No necesito un crédito,Sí,,"10,000",09:00 a. m.,07:00 p. m.,Hombre,Propio,Universidad y más,Más de 60
01/10/2024 17:29,19.4342,-99.0559,José Pablo Avitia ,Miscelanea o Tienda de Abarrotes,Sí,Abarrotes La Avenida ,Chihuahua,1988,3,3,Permanezca igual,,,Mejor,Regreso Escolar,Mayores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Poco,Poco,Moderado,Poco,No,No,No,No,No,No,,No necesito un crédito,Sí,,"50,000",07:00 a. m.,09:00 p. m.,Hombre,Propio,Universidad y más,De 21 a 30
01/10/2024 18:32,19.4342,-99.0559,Alex Ávila Ceballos ,Miscelanea o Tienda de Abarrotes,No,Mini súper del barrio ,Chihuahua,2020,4,4,Permanezca igual,,,Mejor,Mejor personal ,Mayores,Aumentó,Disminuya,En su nivel correcto,Permaneció igual,Aumenten,Nada,Nada,Mucho,Nada,Sí,Sí,No,No,No,Sí,,Las tasas de interés son muy altas,Sí,,30000,07:00 a. m.,10:00 p. m.,Hombre,Rentado,Primaria,De 51 a 60
01/10/2024 18:49,19.4342,-99.0559,Alex Ávila Ceballos ,Miscelanea o Tienda de Abarrotes,No,Minisuper ariana ,Chihuahua,2023,4,1,Permanezca igual,,,Mejor,,Menores,Permaneció igual,Incremente,En su nivel correcto,Aumentó,Aumenten,Moderado,Poco,Moderado,Moderado,No,No,No,No,No,Sí,,Las tasas de interés son muy altas,Sí,,5000,07:30 a. m.,10:00 p. m.,Hombre,Propio,Secundaria,De 31 a 40
01/10/2024 18:59,19.4342,-99.0559,Alex Ávila Ceballos ,Miscelanea o Tienda de Abarrotes,No,Mini súper la esmeralda ,Chihuahua,2004,2,2,Aumente,,,Peor,,Mayores,Aumentó,Permanezca igual,En su nivel correcto,Aumentó,Aumenten,Nada,Nada,Poco,Mucho,No,Sí,No,No,No,No,,Las tasas de interés son muy altas,Sí,,20000,07:00 a. m.,11:00 p. m.,Hombre,Rentado,Universidad y más,De 51 a 60
01/10/2024 19:37,19.4342,-99.0559,Daniel Montana Cano,Miscelanea o Tienda de Abarrotes,No,Minisuper Pao ,Chihuahua,2003,1,0,Permanezca igual,,,Igual,,Iguales,Disminuyó,Incremente,En su nivel correcto,Permaneció igual,Permanezcan igual,Nada,Nada,Poco,Algo,No,No,No,No,No,No,,No necesito un crédito,Sí,,12000,08:00 a. m.,09:30 p. m.,Mujer,Propio,Primaria,De 51 a 60
01/10/2024 19:52,19.4342,-99.0559,Daniel Montana Cano,Cervecería o licorería,No,Six Denisse,Chihuahua,2024,0 - Sólo trabaja el dueño o dueña,0,Permanezca igual,,,Peor,Las escuelas ,Mayores,Disminuyó,Incremente,Muy poco,Bajó,Aumenten,Nada,Algo,Mucho,Mucho,No,No,Sí,No,No,No,,No necesito un crédito,Sí,,11000,09:00 a. m.,09:00 p. m.,Mujer,Propio,Universidad y más,De 31 a 40
